time,model_id,model_name,port_name,data,,,,,,,,,,,,,
0,1,(1,3),,<0,0,0,0,0>,,,,,,,,
0,2,(2,2),,<0,0,0,0,0>,,,,,,,,
0,3,(4,3),,<500,2,0,0,0>,,,,,,,,
0,4,(3,3),,<0,0,0,0,0>,,,,,,,,
0,5,(4,1),,<500,2,0,0,0>,,,,,,,,
0,6,(1,1),,<0,0,0,0,0>,,,,,P8,,P6,
0,7,(2,1),,<0,1,0,0,0>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),,<0,0,0,0,0>,,,,,,,,
0,10,(1,2),,<0,0,0,0,0>,,,,,,,,
0,11,(4,2),,<1,0,0,0,0>,,,,,,,,
0,12,(2,3),,<0,1,0,0,0>,,,,,,,,
0,13,(0,0),,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,19,(4,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),,<0,0,0,0,0>,,,,,,,,
0,23,(4,4),,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),,<500,2,0,0,0>,,,,,,,,
0,1,(1,3),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,1,(1,3),,<0,0,0,0,0>,,,,,,,,
0,2,(2,2),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,2,(2,2),,<0,0,0,0,0>,,,,,,,,
0,3,(4,3),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,3,(4,3),,<500,2,0,0,0>,,,,,,,,
0,4,(3,3),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
0,5,(4,1),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,5,(4,1),,<500,2,0,0,0>,,,,,,,,
0,6,(1,1),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,6,(1,1),,<0,0,0,0,0>,,,,,,,,
0,7,(2,1),outputNeighborhood,<0,1,0,0,0>,,,,,,,,
0,7,(2,1),,<0,1,0,0,0>,,,,,,,,
0,8,(3,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,9,(3,2),,<2,0,0,0,0>,,,,,,,,
0,10,(1,2),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,10,(1,2),,<0,0,0,0,0>,,,,,,,,
0,11,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,,
0,11,(4,2),,<1,0,0,0,0>,,,,,,,,
0,12,(2,3),outputNeighborhood,<0,1,0,0,0>,,,,,,,,
0,12,(2,3),,<0,1,0,0,0>,,,,,,,,
0,13,(0,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,13,(0,0),,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,19,(4,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,19,(4,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),outputNeighborhood,<0,0,0,0,0>,,,,,,,,
0,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
0,23,(4,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,23,(4,4),,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),outputNeighborhood,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),,<500,2,0,0,0>,,,,,,,,
0,2,(2,2),,<3,0,0,0,0>,,,,,,,,
0,3,(4,3),,<500,2,0,0,0>,,,,,,,,
0,4,(3,3),outputNeighborhood,<2.5,0,0,0,0>,,,,,,,,
0,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
0,5,(4,1),,<500,2,0,0,0>,,,,,,,,
0,7,(2,1),,<3.5,1,0,0,0>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),outputNeighborhood,<2,0,0,0,0>,,,,,,,,
0,9,(3,2),,<2,0,0,0,0>,,,,,,,,
0,11,(4,2),,<1,0,0,0,0>,,,,,,,,
0,12,(2,3),,<3.5,1,0,0,0>,,,,,,,,
0,19,(4,0),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),outputNeighborhood,<2.5,0,0,0,0>,,,,,,,,
0,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
0,23,(4,4),,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),,<500,2,0,0,0>,,,,,,,,
0,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
0,2,(2,2),outputNeighborhood,<3,0,0,0,0>,,,,,,,,
0,2,(2,2),,<3,0,0,0,0>,,,,,,,,
0,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
0,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
0,7,(2,1),outputNeighborhood,<3.5,1,0,0,0>,,,,,,,,
0,7,(2,1),,<3.5,1,0,0,1>,,,,,,,,
0,8,(3,0),,<500,2,0,0,0>,,,,,,,,
0,9,(3,2),,<2,0,0,0,0>,,,,,,,,
0,10,(1,2),,<4,0,0,0,0>,,,,,,,,
0,12,(2,3),outputNeighborhood,<3.5,1,0,0,0>,,,,,,,,
0,12,(2,3),,<3.5,1,0,0,1>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
0,25,(3,4),,<500,2,0,0,0>,,,,,,,,
0,1,(1,3),outputNeighborhood,<4.5,0,0,0,0>,,,,,,,,
0,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
0,2,(2,2),,<3,0,0,0,0>,,,,,,,,
0,6,(1,1),outputNeighborhood,<4.5,0,0,0,0>,,,,,,,,
0,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
0,7,(2,1),,<3.5,1,8,0,1>,,,,,,,,
0,10,(1,2),outputNeighborhood,<4,0,0,0,0>,,,,,,,,
0,10,(1,2),,<4,0,0,0,0>,,,,,,,,
0,12,(2,3),,<3.5,1,6,0,1>,,,,,,,,
0,13,(0,0),,<500,2,0,0,0>,,,,,,,,
0,14,(0,1),,<500,2,0,0,0>,,,,,,,,
0,15,(0,2),,<500,2,0,0,0>,,,,,,,,
0,16,(0,4),,<500,2,0,0,0>,,,,,,,,
0,17,(0,3),,<500,2,0,0,0>,,,,,,,,
0,18,(1,0),,<500,2,0,0,0>,,,,,,,,
0,20,(1,4),,<500,2,0,0,0>,,,,,,,,
0,21,(2,0),,<500,2,0,0,0>,,,,,,,,
0,24,(2,4),,<500,2,0,0,0>,,,,,,,,
1,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
1,2,(2,2),,<3,0,0,0,0>,,,,,,,,
1,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
1,6,(1,1),,<4.5,0,0,0,0>,,,P,,,,,
1,7,(2,1),outputNeighborhood,<3.5,1,8,0,1>,,,,P,,,,
1,7,(2,1),,<3.5,1,8,0,1>,,,,,,,,
1,8,(3,0),,<500,2,0,0,0>,,,,,,,,
1,9,(3,2),,<2,0,0,3,0>,,,,,,,,
1,10,(1,2),,<4,0,0,0,0>,,,,,,,,
1,12,(2,3),outputNeighborhood,<3.5,1,6,0,1>,,,,,,,,
1,12,(2,3),,<3.5,1,6,0,1>,,,,,,,,
1,18,(1,0),,<500,2,0,0,0>,,,,,,,,
1,20,(1,4),,<500,2,0,0,0>,,,,,,,,
1,21,(2,0),,<500,2,0,0,0>,,,,,,,,
1,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
1,24,(2,4),,<500,2,0,0,0>,,,,,,,,
1,25,(3,4),,<500,2,0,0,0>,,,,,,,,
1,2,(2,2),,<3,0,0,0,0>,,,,,,,,
1,3,(4,3),,<500,2,0,0,0>,,,,,,,,
1,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
1,5,(4,1),,<500,2,0,0,0>,,,,,,,,
1,7,(2,1),,<3.5,1,0,0,1>,,,,,,,,
1,9,(3,2),outputNeighborhood,<2,0,0,3,0>,,,,,,,,
1,9,(3,2),,<2,1,0,0,1>,,,,,,,,
1,11,(4,2),,<1,0,0,0,0>,,,,,,,,
1,12,(2,3),,<3.5,0,0,0,1>,,,,,,,,
1,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
2,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
2,2,(2,2),,<3,0,0,0,0>,,,,,,,,
2,3,(4,3),,<500,2,0,0,0>,,,,,,,,
2,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
2,5,(4,1),,<500,2,0,0,0>,,,P7,,,,,
2,6,(1,1),,<4.5,0,0,0,0>,,,,P7,,,,
2,7,(2,1),outputNeighborhood,<3.5,1,0,0,1>,,,,,,,,
2,7,(2,1),,<3.5,1,7,0,1>,,,,,,,,
2,8,(3,0),,<500,2,0,0,0>,,,,,,,,
2,9,(3,2),outputNeighborhood,<2,1,0,0,1>,,,,,,,,
2,9,(3,2),,<2,1,7,0,1>,,,,,,,,
2,10,(1,2),,<4,0,0,0,0>,,,,,,,,
2,11,(4,2),,<1,0,0,0,0>,,,,,,,,
2,12,(2,3),outputNeighborhood,<3.5,0,0,0,1>,,,,,,,,
2,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
2,18,(1,0),,<500,2,0,0,0>,,,,,,,,
2,20,(1,4),,<500,2,0,0,0>,,,,,,,,
2,21,(2,0),,<500,2,0,0,0>,,,,,,,,
2,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
2,24,(2,4),,<500,2,0,0,0>,,,,,,,,
2,25,(3,4),,<500,2,0,0,0>,,,,,,,,
2,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
2,2,(2,2),,<3,0,0,0,0>,,,,,,,,
2,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
2,9,(3,2),,<2,1,7,0,1>,,,,,,,,
2,10,(1,2),,<4,0,0,0,0>,,,,,,,,
2,12,(2,3),outputNeighborhood,<3.5,0,0,0,0>,,,,,,,,
2,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
2,20,(1,4),,<500,2,0,0,0>,,,,,,,,
2,24,(2,4),,<500,2,0,0,0>,,,,,,,,
2,25,(3,4),,<500,2,0,0,0>,,,,,,,,
3,2,(2,2),,<3,0,0,0,0>,,,,,,,,
3,3,(4,3),,<500,2,0,0,0>,,,,,,,,
3,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
3,5,(4,1),,<500,2,0,0,0>,,,,,,,,
3,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
3,7,(2,1),outputNeighborhood,<3.5,1,7,0,1>,,,,,,,,
3,7,(2,1),,<3.5,1,7,0,1>,,,P,,,,,
3,8,(3,0),,<500,2,0,0,0>,,,,P,,,,
3,9,(3,2),outputNeighborhood,<2,1,7,0,1>,,,,,,,,
3,9,(3,2),,<2,1,7,0,1>,,,,,,,,
3,10,(1,2),,<4,0,0,0,0>,,,,,,,,
3,11,(4,2),,<1,0,0,2,0>,,,,,,,,
3,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
3,18,(1,0),,<500,2,0,0,0>,,,,,,,,
3,21,(2,0),,<500,2,0,0,0>,,,,,,,,
3,22,(3,1),,<2.5,0,0,2,0>,,,,,,,,
3,2,(2,2),,<3,0,0,0,0>,,,,,,,,
3,3,(4,3),,<500,2,0,0,0>,,,,,,,,
3,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
3,5,(4,1),,<500,2,0,0,0>,,,,,,,,
3,7,(2,1),,<3.5,0,0,0,1>,,,,,,,,
3,8,(3,0),,<500,2,0,0,0>,,,,,,,,
3,9,(3,2),,<2,0,0,0,1>,,,,,,,,
3,11,(4,2),outputNeighborhood,<1,0,0,2,0>,,,,,,,,
3,11,(4,2),,<1,1,0,0,1>,,,,,,,,
3,19,(4,0),,<500,2,0,0,0>,,,,,,,,
3,21,(2,0),,<500,2,0,0,0>,,,,,,,,
3,22,(3,1),outputNeighborhood,<2.5,0,0,2,0>,,,,,,,,
3,22,(3,1),,<2.5,1,0,0,1>,,,,,,,,
4,2,(2,2),,<3,0,0,0,0>,,,,,,,,
4,3,(4,3),,<500,2,0,0,0>,,,,,,,,
4,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
4,5,(4,1),,<500,2,0,0,0>,,,,,,,,
4,6,(1,1),,<4.5,0,0,0,0>,,,P5,,,,,
4,7,(2,1),outputNeighborhood,<3.5,0,0,0,1>,,,,,,,,
4,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
4,8,(3,0),,<500,2,0,0,0>,,,,,,,,
4,9,(3,2),outputNeighborhood,<2,0,0,0,1>,,,,,,,,
4,9,(3,2),,<2,0,0,0,0>,,,,,,,,
4,10,(1,2),,<4,0,0,0,0>,,,,,,,,
4,11,(4,2),outputNeighborhood,<1,1,0,0,1>,,,,,,,,
4,11,(4,2),,<1,0,0,0,1>,,,,,,,,
4,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
4,18,(1,0),,<500,2,0,0,0>,,,,,,,,
4,19,(4,0),,<500,2,0,0,0>,,,,,,,,
4,21,(2,0),,<500,2,0,0,0>,,,,,,,,
4,22,(3,1),outputNeighborhood,<2.5,1,0,0,1>,,,,,,,,
4,22,(3,1),,<2.5,1,5,0,1>,,,,,,,,
4,2,(2,2),,<3,0,0,0,0>,,,,,,,,
4,3,(4,3),,<500,2,0,0,0>,,,,,,,,
4,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
4,5,(4,1),,<500,2,0,0,0>,,,,,,,,
4,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
4,7,(2,1),outputNeighborhood,<3.5,0,0,0,0>,,,,,,,,
4,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
4,8,(3,0),,<500,2,0,0,0>,,,,,,,,
4,9,(3,2),outputNeighborhood,<2,0,0,0,0>,,,,,,,,
4,9,(3,2),,<2,0,0,0,0>,,,,,,,,
4,10,(1,2),,<4,0,0,0,0>,,,,,,,,
4,11,(4,2),,<1,0,0,0,0>,,,,,,,,
4,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
4,18,(1,0),,<500,2,0,0,0>,,,,,,,,
4,21,(2,0),,<500,2,0,0,0>,,,,,,,,
4,22,(3,1),,<2.5,1,5,0,1>,,,,,,,,
4,3,(4,3),,<500,2,0,0,0>,,,,,,,,
4,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
4,5,(4,1),,<500,2,0,0,0>,,,,,,,,
4,9,(3,2),,<2,0,0,0,0>,,,,,,,,
4,11,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,,
4,11,(4,2),,<1,0,0,0,0>,,,,,,,,
4,22,(3,1),,<2.5,1,5,0,1>,,,,,,,,
5,2,(2,2),,<3,0,0,0,0>,,,,,,,,
5,3,(4,3),,<500,2,0,0,0>,,,,,,,,
5,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
5,5,(4,1),,<500,2,0,0,0>,,,,,,,,
5,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
5,8,(3,0),,<500,2,0,0,0>,,,,,,,,
5,9,(3,2),,<2,0,0,4,0>,,,,,,,,
5,11,(4,2),outputNeighborhood,<1,0,0,0,1>,,,,,,,,
5,11,(4,2),,<1,0,0,0,0>,,,,,,,,
5,19,(4,0),,<500,2,0,0,0>,,,,P,,,,
5,21,(2,0),,<500,2,0,0,0>,,,,,,,,
5,22,(3,1),outputNeighborhood,<2.5,1,5,0,1>,,,,,,,,
5,22,(3,1),,<2.5,1,5,0,1>,,,,,,,,
5,2,(2,2),,<3,0,0,0,0>,,,,,,,,
5,3,(4,3),,<500,2,0,0,0>,,,,,,,,
5,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
5,5,(4,1),,<500,2,0,0,0>,,,,,,,,
5,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
5,9,(3,2),outputNeighborhood,<2,0,0,4,0>,,,,,,,,
5,9,(3,2),,<2,1,0,0,1>,,,,,,,,
5,11,(4,2),,<1,0,0,0,0>,,,,,,,,
5,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
5,22,(3,1),,<2.5,0,0,0,1>,,,,,,,,
6,2,(2,2),,<3,0,0,0,0>,,,,,,,,
6,3,(4,3),,<500,2,0,0,0>,,,,,,,,
6,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
6,5,(4,1),,<500,2,0,0,0>,,,,,,,,
6,7,(2,1),,<3.5,0,0,0,0>,,,,P7,,,,
6,8,(3,0),,<500,2,0,0,0>,,,,,,,,
6,9,(3,2),outputNeighborhood,<2,1,0,0,1>,,,,,,,,
6,9,(3,2),,<2,1,7,0,1>,,,,,,,,
6,11,(4,2),,<1,0,0,0,0>,,,,,,,,
6,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
6,19,(4,0),,<500,2,0,0,0>,,,,,,,,
6,21,(2,0),,<500,2,0,0,0>,,,,,,,,
6,22,(3,1),outputNeighborhood,<2.5,0,0,0,1>,,,,,,,,
6,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
6,2,(2,2),,<3,0,0,0,0>,,,,,,,,
6,5,(4,1),,<500,2,0,0,0>,,,,,,,,
6,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
6,8,(3,0),,<500,2,0,0,0>,,,,,,,,
6,9,(3,2),,<2,1,7,0,1>,,,,,,,,
6,11,(4,2),,<1,0,0,0,0>,,,,,,,,
6,19,(4,0),,<500,2,0,0,0>,,,,,,,,
6,21,(2,0),,<500,2,0,0,0>,,,,,,,,
6,22,(3,1),outputNeighborhood,<2.5,0,0,0,0>,,,,,,,,
6,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
7,2,(2,2),,<3,0,0,0,0>,,,,,,,,
7,3,(4,3),,<500,2,0,0,0>,,,,,,,,
7,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
7,5,(4,1),,<500,2,0,0,0>,,,,,,,,
7,7,(2,1),,<3.5,0,0,0,0>,,,,P,,,,
7,9,(3,2),outputNeighborhood,<2,1,7,0,1>,,,,,,,,
7,9,(3,2),,<2,1,7,0,1>,,,,,,,,
7,11,(4,2),,<1,0,0,2,0>,,,,,,,,
7,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
7,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
7,3,(4,3),,<500,2,0,0,0>,,,,,,,,
7,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
7,5,(4,1),,<500,2,0,0,0>,,,,,,,,
7,9,(3,2),,<2,0,0,0,1>,,,,,,,,
7,11,(4,2),outputNeighborhood,<1,0,0,2,0>,,,,,,,,
7,11,(4,2),,<1,1,0,0,1>,,,,,,,,
7,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
8,2,(2,2),,<3,0,0,0,0>,,,,,,,,
8,3,(4,3),,<500,2,0,0,0>,,,,,,,,
8,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
8,5,(4,1),,<500,2,0,0,0>,,,,,,,,
8,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
8,9,(3,2),outputNeighborhood,<2,0,0,0,1>,,,,,,,,
8,9,(3,2),,<2,0,0,0,0>,,,,,,,,
8,11,(4,2),outputNeighborhood,<1,1,0,0,1>,,,,,,,,
8,11,(4,2),,<1,0,0,0,1>,,,,,,,,
8,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
8,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
8,2,(2,2),,<3,0,0,0,0>,,,,,,,,
8,3,(4,3),,<500,2,0,0,0>,,,,,,,,
8,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
8,5,(4,1),,<500,2,0,0,0>,,,,,,,,
8,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
8,9,(3,2),outputNeighborhood,<2,0,0,0,0>,,,,,,,,
8,9,(3,2),,<2,0,0,0,0>,,,,,,,,
8,11,(4,2),,<1,0,0,0,0>,,,,,,,,
8,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
8,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
8,3,(4,3),,<500,2,0,0,0>,,,,,,,,
8,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
8,5,(4,1),,<500,2,0,0,0>,,,,,,,,
8,9,(3,2),,<2,0,0,0,0>,,,,,,,,
8,11,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,,
8,11,(4,2),,<1,0,0,0,0>,,,,,,,,
8,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
9,3,(4,3),,<500,2,0,0,0>,,,,,,,,
9,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
9,5,(4,1),,<500,2,0,0,0>,,,,,,,,
9,9,(3,2),,<2,0,0,0,0>,,,,,,,,
9,11,(4,2),outputNeighborhood,<1,0,0,0,1>,,,,,,,,
9,11,(4,2),,<1,0,0,0,0>,,,,,,,,
9,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
9,1,(1,3),,<4.5,0,0,0,0>,,,,,,,,
9,2,(2,2),,<3,0,0,0,0>,,,,,,,,
9,3,(4,3),,<500,2,0,0,0>,,,,,,,,
9,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
9,5,(4,1),,<500,2,0,0,0>,,,,,,,,
9,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
9,7,(2,1),,<3.5,0,0,0,0>,,,,,,,,
9,8,(3,0),,<500,2,0,0,0>,,,,,,,,
9,9,(3,2),,<2,0,0,0,0>,,,,,,,,
9,10,(1,2),,<4,0,0,0,0>,,,,,,,,
9,11,(4,2),,<1,0,0,0,0>,,,,,,,,
9,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
9,13,(0,0),,<500,2,0,0,0>,,,,,,,,
9,14,(0,1),,<500,2,0,0,0>,,,,,,,,
9,15,(0,2),,<500,2,0,0,0>,,,,,,,,
9,16,(0,4),,<500,2,0,0,0>,,,,,,,,
9,17,(0,3),,<500,2,0,0,0>,,,,,,,,
9,18,(1,0),,<500,2,0,0,0>,,,,,,,,
9,19,(4,0),,<500,2,0,0,0>,,,,,,,,
9,20,(1,4),,<500,2,0,0,0>,,,,,,,,
9,21,(2,0),,<500,2,0,0,0>,,,,,,,,
9,22,(3,1),,<2.5,0,0,0,0>,,,,,,,,
9,23,(4,4),,<500,2,0,0,0>,,,,,,,,
9,24,(2,4),,<500,2,0,0,0>,,,,,,,,
9,25,(3,4),,<500,2,0,0,0>,,,,,,,,
